x_,y_,t_,sex,id,name
590129.991325462,4732941.66753334,2009/02/11 12:16:45+00,M,M1,Leroy
590136.260993499,4732940.48320456,2009/02/11 12:31:38+00,M,M1,Leroy
590138.481101216,4732935.33659517,2009/02/11 12:45:48.998+00,M,M1,Leroy
590143.98064728,4732946.74797407,2009/02/11 13:00:16.002+00,M,M1,Leroy
590137.036155815,4732940.0490629,2009/02/11 13:15:19.001+00,M,M1,Leroy
590125.953129551,4732936.20604072,2009/02/11 13:30:13.001+00,M,M1,Leroy
590139.17404168,4732940.57674446,2009/02/11 13:45:37+00,M,M1,Leroy
590139.063621732,4732923.31597918,2009/02/11 14:00:35+00,M,M1,Leroy
590136.703635282,4732933.53638194,2009/02/11 14:15:49+00,M,M1,Leroy
590135.810914419,4732934.82418159,2009/02/11 14:30:49.001+00,M,M1,Leroy
590140.937531061,4732940.31098811,2009/02/11 14:45:13.998+00,M,M1,Leroy
590140.585583494,4732941.56141762,2009/02/11 15:00:45+00,M,M1,Leroy
590136.267771835,4732916.74894555,2009/02/11 15:15:10.999+00,M,M1,Leroy
590138.136745817,4732942.90665778,2009/02/11 15:30:44.999+00,M,M1,Leroy
590128.929686966,4732954.64815484,2009/02/11 15:45:33+00,M,M1,Leroy
590142.173500601,4732966.67146502,2009/02/11 16:00:31.999+00,M,M1,Leroy
590135.819881553,4732942.9208543,2009/02/11 16:15:14.999+00,M,M1,Leroy
590132.913065839,4732941.09480083,2009/02/11 16:30:11+00,M,M1,Leroy
590137.252347826,4732947.94852452,2009/02/11 16:45:52.999+00,M,M1,Leroy
590133.541694526,4732943.73521602,2009/02/11 17:00:12+00,M,M1,Leroy
590149.960057696,4732913.22917811,2009/02/11 17:15:12.998+00,M,M1,Leroy
590142.737230062,4732942.28919481,2009/02/11 17:30:19.001+00,M,M1,Leroy
590143.57236461,4732942.27787911,2009/02/11 17:45:45.001+00,M,M1,Leroy
590134.225301811,4732944.04400745,2009/02/11 18:00:23.001+00,M,M1,Leroy
590136.788665615,4732935.80319418,2009/02/11 18:15:19.999+00,M,M1,Leroy
590132.218743608,4732936.58765574,2009/02/11 18:30:09.999+00,M,M1,Leroy
590133.859533802,4732936.94225439,2009/02/11 18:45:17.998+00,M,M1,Leroy
590133.162947691,4732945.78495605,2009/02/11 19:00:12.998+00,M,M1,Leroy
590133.198601811,4732933.01307695,2009/02/11 19:15:14.998+00,M,M1,Leroy
590136.959269887,4732920.84511778,2009/02/11 19:30:48+00,M,M1,Leroy
590133.580514729,4732945.77929761,2009/02/11 19:45:23.998+00,M,M1,Leroy
590147.097459347,4732941.89072756,2009/02/11 20:01:20.998+00,M,M1,Leroy
590128.172806774,4732912.26741789,2009/02/11 20:15:44.999+00,M,M1,Leroy
590132.88055007,4732936.68514124,2009/02/11 20:30:22+00,M,M1,Leroy
590132.569387576,4732934.18214468,2009/02/11 20:45:14+00,M,M1,Leroy
590130.626404087,4732941.93126573,2009/02/11 21:00:17.999+00,M,M1,Leroy
590146.985796308,4732934.13701242,2009/02/11 21:15:18.999+00,M,M1,Leroy
590143.720673762,4732927.77487324,2009/02/11 21:30:16.999+00,M,M1,Leroy
